time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA
2008-01-03,0.49,0.851,0.49,0.601,0.6716965144813548,0.6528912950165937,0.659157975049953,0.66293594749931,,
2008-01-04,0.682,1.012,0.624,0.694,0.6719184397103961,0.6568064097769181,0.6605243289695627,0.6635510772517988,,
2008-01-07,0.616,0.81,0.574,0.773,0.6729242263799444,0.6678724659886401,0.6649351395982073,0.6657183826527533,,
2008-01-08,0.689,0.964,0.606,0.964,0.6758205027343729,0.6960750882754363,0.676663173339454,0.6716249493328967,,
2008-01-09,0.701,0.824,0.611,0.751,0.6765685574335334,0.7013060322492043,0.6795783430124166,0.6731967325144236,,
2008-01-10,0.665,0.807,0.665,0.719,0.6769907608421549,0.7029911720349944,0.681124290345263,0.6741037279101776,,
2008-01-11,0.723,1.197,0.676,0.705,0.6772694597392479,0.7031824889840426,0.6820605926846645,0.6747155352782929,,
2008-01-14,0.656,0.761,0.651,0.702,0.6775155347667181,0.7030698709855623,0.6828425302264424,0.6752558217084257,,
2008-01-15,0.741,1.064,0.724,1.059,0.6813114000924224,0.7369679785107468,0.6975938035508956,0.6828547163280608,,
2008-01-16,0.81,0.938,0.759,0.862,0.6831092966089157,0.7488757900811519,0.7040411053724291,0.6864021476879012,,
2008-01-17,0.912,1.05,0.822,0.991,0.6861728856973842,0.7719352386448517,0.7152943953578241,0.6924337883277447,,
2008-01-18,0.78,0.999,0.78,0.988,0.6891761405660669,0.7925128349643896,0.7259887327947722,0.6982865845984825,,
2008-01-22,0.855,0.914,0.727,0.73,0.6895823481226234,0.7865592316344477,0.7261460373910557,0.6989145730222749,,
2008-01-23,0.675,0.823,0.611,0.751,0.6901934690368262,0.7831726381454527,0.7271207025914064,0.6999459676158932,,
2008-01-24,0.619,0.67,0.582,0.593,0.6892263698424299,0.7650609583220762,0.7218610671956649,0.6978282256829053,,
2008-01-25,0.478,0.665,0.464,0.665,0.6889853114360376,0.7555313432437832,0.7196312214232858,0.6971781618079962,,
2008-01-28,0.789,0.789,0.634,0.638,0.6884779949043357,0.7443378819824705,0.7164299970537452,0.696006317019719,,
2008-01-29,0.597,0.657,0.514,0.657,0.6881647810246906,0.7360199884603305,0.7140994089339905,0.6952339147024968,,
2008-01-30,0.661,0.751,0.594,0.625,0.6875362757408628,0.7254466562260132,0.7106053144659908,0.6938431441143286,,
2008-01-31,1.048,1.104,0.697,0.697,0.6876304421514016,0.7227374508711548,0.7100717727222265,0.6939056561120647,,
2008-02-01,0.503,0.619,0.503,0.563,0.6863903382493975,0.7075243603119972,0.7043042522233157,0.6913134649019248,,
2008-02-04,0.585,0.709,0.585,0.682,0.6863466532916921,0.7050934688537117,0.7034295756655387,0.6911290398543619,,
2008-02-05,0.793,0.95,0.657,0.939,0.688860616940531,0.7273702813438344,0.712667631521792,0.69603737569883,,
2008-02-06,0.685,0.81,0.672,0.807,0.690036133189879,0.734954064072993,0.7163669400895649,0.698234655387962,,
2008-02-07,0.788,0.953,0.715,0.9,0.6921253258944573,0.7506727246374699,0.7235682365566408,0.7022300087466162,,
2008-02-08,0.754,0.804,0.664,0.784,0.693039501756204,0.7538467508624728,0.725938109632851,0.703849216494208,,
2008-02-11,0.644,0.764,0.64,0.678,0.6928898549725602,0.7466232507803325,0.7240581837648961,0.7033373508210553,,
2008-02-12,0.702,0.778,0.59,0.778,0.6937367220872611,0.7496115126107771,0.7261735491074491,0.7048158191216285,,
2008-02-13,0.653,0.863,0.626,0.76,0.6943960581858953,0.7506008923621317,0.7275000765934315,0.7059085751786259,,
2008-02-14,0.675,0.773,0.638,0.737,0.6948199780049411,0.7493055692800239,0.7278726226093754,0.706524246957267,,
2008-02-15,0.603,0.782,0.603,0.777,0.6956376896665835,0.7519431341104978,0.7297991864286155,0.7079198064234598,,
2008-02-19,0.527,0.661,0.459,0.66,0.695283085789304,0.7431866451475933,0.7270619634314149,0.7069708993655694,,
2008-02-20,0.65,0.78,0.546,0.7,0.6953300202590621,0.7390736313240129,0.7260007099635163,0.7068328617543701,,
2008-02-21,0.584,0.713,0.516,0.713,0.6955058409530018,0.7365904283407736,0.7254908782002412,0.7069549833037885,,
2008-02-22,0.863,1.065,0.838,0.84,0.6969435937793401,0.7464389589749856,0.7299814319963102,0.709589538089852,,
2008-02-25,0.496,0.695,0.412,0.657,0.6965461450850183,0.7379209628821298,0.7271194150552784,0.7085481610979738,,
2008-02-26,0.735,0.862,0.615,0.788,0.6974561336911376,0.7426903949885937,0.7295068889746793,0.7101214648386079,,
