signal,horizont_tage,n_events,mean_return,mean_mdd,sharpe,mean_return_basis,t_pvalue,u_pvalue,signifikant_5pct,Börse,Ratio_Art,Niveau,Index,Mehrrendite,belastbar
stocks_ratio_80pct_fallend,30,446,0.01692383868805204,-0.06388254051866472,0.7204657815588196,0.01178733651352356,0.12248923830794688,0.0010611411345324395,False,NYSE,stocks_ratio,80,Dow Jones,0.00513650217452848,True
stocks_ratio_80pct_fallend,60,446,0.035905871140658054,-0.08357121167541788,0.9198022722432633,0.024024435989243597,0.0026313028691412606,0.00036378297019334845,True,NYSE,stocks_ratio,80,Dow Jones,0.011881435151414457,True
stocks_ratio_80pct_fallend,90,446,0.048378826063992894,-0.09648726133142116,0.8558496175397884,0.036984628218799685,0.014378352135894886,0.000542690200127041,True,NYSE,stocks_ratio,80,Dow Jones,0.011394197845193209,True
stocks_ratio_80pct_fallend,30,446,0.025821666234584,-0.07494001925062024,0.9180058779026457,0.0208181305852853,0.2100870289282227,0.029726159772066735,False,NYSE,stocks_ratio,80,NASDAQ 100,0.0050035356492987015,True
stocks_ratio_80pct_fallend,60,446,0.060529989383441105,-0.09655557767613134,1.1737049419252388,0.04359806895872419,0.0011680419201661291,0.00039814454825456183,True,NYSE,stocks_ratio,80,NASDAQ 100,0.016931920424716917,True
stocks_ratio_80pct_fallend,90,446,0.08981614632352154,-0.11082574014175169,1.172417058022164,0.06726908641625615,0.0003583762089227339,2.1440085261095057e-05,True,NYSE,stocks_ratio,80,NASDAQ 100,0.022547059907265396,True
stocks_ratio_80pct_fallend,30,446,0.019441040267500348,-0.08843050273068839,0.5801112216876585,0.012585319613388988,0.14856356020713282,0.0020590037686266218,False,NYSE,stocks_ratio,80,Russell 2000,0.00685572065411136,True
stocks_ratio_80pct_fallend,60,446,0.045355381419897,-0.11632316849638871,0.7865720294475548,0.025881882933534207,0.0008618091298555219,4.901467122287994e-05,True,NYSE,stocks_ratio,80,Russell 2000,0.019473498486362793,True
stocks_ratio_80pct_fallend,90,446,0.06335304307698121,-0.13357171601310605,0.7489336137238138,0.04036438933282927,0.001016468282032762,1.5952663660002712e-05,True,NYSE,stocks_ratio,80,Russell 2000,0.02298865374415194,True
stocks_ratio_90pct_fallend,30,126,0.024625410586961938,-0.08621810490299421,0.7625582726905891,0.013693655159976469,0.19442771022228916,0.003233144819494954,False,NYSE,stocks_ratio,90,S&P 500,0.01093175542698547,True
stocks_ratio_90pct_fallend,60,126,0.05316806186074934,-0.10958865536377667,1.0083994490470802,0.028311368714780343,0.011474929127261906,0.00013794980419330576,True,NYSE,stocks_ratio,90,S&P 500,0.024856693145969,True
stocks_ratio_90pct_fallend,90,126,0.07314287836759337,-0.12013392517679213,0.9725588523493516,0.04396284453524409,0.01084615381929388,6.822862405366343e-05,True,NYSE,stocks_ratio,90,S&P 500,0.029180033832349274,True
stocks_ratio_90pct_fallend,30,126,0.022634346099670095,-0.08143252206185157,0.7790726652356188,0.01178733651352356,0.15289387451528538,0.0015070876043590407,False,NYSE,stocks_ratio,90,Dow Jones,0.010847009586146535,True
stocks_ratio_90pct_fallend,60,126,0.048423667019009194,-0.10297384472352496,1.0129868649738918,0.024024435989243597,0.006331614074934405,7.32515553893061e-05,True,NYSE,stocks_ratio,90,Dow Jones,0.024399231029765597,True
stocks_ratio_90pct_fallend,90,126,0.06212759431346828,-0.11373522817067518,0.9259019616320093,0.036984628218799685,0.013844207198054464,0.0001869772111605791,True,NYSE,stocks_ratio,90,Dow Jones,0.025142966094668595,True
stocks_ratio_90pct_fallend,30,126,0.035893820252667276,-0.0870853282722107,1.0464700756680017,0.0208181305852853,0.0931577625453127,0.0034122049054024577,False,NYSE,stocks_ratio,90,NASDAQ 100,0.015075689667381976,True
stocks_ratio_90pct_fallend,60,126,0.07623924780052774,-0.11000671457845297,1.261207255631215,0.04359806895872419,0.003946292456001991,0.00038201746473636876,True,NYSE,stocks_ratio,90,NASDAQ 100,0.03264117884180355,True
stocks_ratio_90pct_fallend,90,126,0.11554534652223376,-0.12051231294541923,1.30900507299385,0.06726908641625615,0.00039036062468875854,1.0113798830084712e-05,True,NYSE,stocks_ratio,90,NASDAQ 100,0.04827626010597762,True
stocks_ratio_90pct_fallend,30,126,0.023963961762964052,-0.111304971278141,0.5443372952630923,0.012585319613388988,0.32112199232715655,0.011517374609950415,False,NYSE,stocks_ratio,90,Russell 2000,0.011378642149575064,True
stocks_ratio_90pct_fallend,60,126,0.062160113886214674,-0.1421536461568173,0.8736085208629795,0.025881882933534207,0.006387429199633802,4.798600865181962e-05,True,NYSE,stocks_ratio,90,Russell 2000,0.03627823095268047,True
stocks_ratio_90pct_fallend,90,126,0.08442436164779638,-0.1562166772487716,0.839936561053374,0.04036438933282927,0.004156377239377541,4.337972593753036e-05,True,NYSE,stocks_ratio,90,Russell 2000,0.044059972314967104,True
volume_ratio_70pct_fallend,30,615,0.0207416350333394,-0.061227789140449004,0.8816923510913035,0.013693655159976469,0.014459722784576391,5.9126486805240354e-05,True,NYSE,volume_ratio,70,S&P 500,0.00704797987336293,True
